sweep_type,topology,nodes,traffic,injection_rate,router_latency,vcs_per_vnet,avg_packet_latency,avg_flit_latency,avg_hops,packets_injected,packets_received,flits_injected,flits_received,avg_flit_network_latency,avg_flit_queueing_latency,int_link_util,ext_in_link_util,ext_out_link_util,throughput,accepted_traffic,flit_net_lat_v0,flit_net_lat_v1,flit_net_lat_v2,flit_net_lat_v3,flit_net_lat_v4,flit_queue_lat_v0,flit_queue_lat_v1,flit_queue_lat_v2,flit_queue_lat_v3,flit_queue_lat_v4
core,CrossbarGarnet,8,neighbor,0.02,1,4,3269.230769,2932.432432,0.0,15.0,13.0,43.0,37.0,2324.324324,608.108108,0.0,38.0,38.0,0.00013,4.625e-05,0.0,0.0,12000.0,0.0,74000.0,0.0,0.0,8000.0,0.0,14500.0
core,CrossbarGarnet,8,neighbor,0.04,1,4,3357.142857,2973.684211,0.0,15.0,14.0,43.0,38.0,2368.421053,605.263158,0.0,38.0,38.0,0.00014,4.75e-05,0.0,0.0,12000.0,0.0,78000.0,0.0,0.0,8000.0,0.0,15000.0
core,CrossbarGarnet,8,neighbor,0.06,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.08,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.1,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.12,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.14,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.16,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.18,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.2,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.25,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.3,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.35,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.4,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,neighbor,0.5,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.02,1,4,3269.230769,2932.432432,0.0,15.0,13.0,43.0,37.0,2324.324324,608.108108,0.0,38.0,38.0,0.00013,4.625e-05,0.0,0.0,12000.0,0.0,74000.0,0.0,0.0,8000.0,0.0,14500.0
core,CrossbarGarnet,8,tornado,0.04,1,4,3357.142857,2973.684211,0.0,15.0,14.0,43.0,38.0,2368.421053,605.263158,0.0,38.0,38.0,0.00014,4.75e-05,0.0,0.0,12000.0,0.0,78000.0,0.0,0.0,8000.0,0.0,15000.0
core,CrossbarGarnet,8,tornado,0.06,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.08,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.1,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.12,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.14,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.16,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.18,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.2,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.25,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.3,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.35,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.4,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,tornado,0.5,1,4,3500.0,3000.0,0.0,16.0,16.0,48.0,48.0,2416.666667,583.333333,0.0,48.0,48.0,0.00016,6e-05,0.0,0.0,12000.0,0.0,104000.0,0.0,0.0,8000.0,0.0,20000.0
core,CrossbarGarnet,8,transpose,0.02,1,4,4611.111111,4595.238095,0.0,19.0,18.0,47.0,42.0,2285.714286,2309.52381,0.0,42.0,42.0,0.00018,5.25e-05,0.0,0.0,13500.0,4500.0,78000.0,0.0,0.0,9000.0,18000.0,70000.0
core,CrossbarGarnet,8,transpose,0.04,1,4,4611.111111,4738.636364,0.0,21.0,18.0,53.0,44.0,2261.363636,2477.272727,0.0,47.0,45.0,0.00018,5.5e-05,0.0,0.0,13500.0,4500.0,81500.0,0.0,0.0,9000.0,18000.0,82000.0
