topology,nodes,traffic,saturation_injection_rate
CrossbarGarnet,8,neighbor,
CrossbarGarnet,8,tornado,
CrossbarGarnet,8,transpose,
CrossbarGarnet,8,uniform_random,
CrossbarGarnet,16,neighbor,
CrossbarGarnet,16,tornado,
CrossbarGarnet,16,transpose,
CrossbarGarnet,16,uniform_random,
CrossbarGarnet,32,neighbor,
CrossbarGarnet,32,tornado,
CrossbarGarnet,32,transpose,
CrossbarGarnet,32,uniform_random,
Mesh_XY,8,neighbor,
Mesh_XY,8,tornado,
Mesh_XY,8,transpose,
Mesh_XY,8,uniform_random,
Mesh_XY,16,neighbor,
Mesh_XY,16,tornado,
Mesh_XY,16,transpose,
Mesh_XY,16,uniform_random,
Mesh_XY,32,neighbor,
Mesh_XY,32,tornado,
Mesh_XY,32,transpose,
Mesh_XY,32,uniform_random,
Mesh_westfirst,8,neighbor,
Mesh_westfirst,8,tornado,
Mesh_westfirst,8,transpose,
Mesh_westfirst,8,uniform_random,
Mesh_westfirst,16,neighbor,
Mesh_westfirst,16,tornado,
Mesh_westfirst,16,transpose,
Mesh_westfirst,16,uniform_random,
Mesh_westfirst,32,neighbor,
Mesh_westfirst,32,tornado,
Mesh_westfirst,32,transpose,
Mesh_westfirst,32,uniform_random,
Pt2Pt,8,neighbor,
Pt2Pt,8,tornado,
Pt2Pt,8,transpose,
Pt2Pt,8,uniform_random,
Pt2Pt,16,neighbor,
Pt2Pt,16,tornado,
Pt2Pt,16,transpose,
Pt2Pt,16,uniform_random,
Pt2Pt,32,neighbor,
Pt2Pt,32,tornado,
Pt2Pt,32,transpose,
Pt2Pt,32,uniform_random,
Ring,8,neighbor,
Ring,8,tornado,
Ring,8,transpose,
Ring,8,uniform_random,
Ring,16,neighbor,
Ring,16,tornado,
Ring,16,transpose,
Ring,16,uniform_random,
Ring,32,neighbor,
Ring,32,tornado,
Ring,32,transpose,
Ring,32,uniform_random,
Star,8,neighbor,
Star,8,tornado,
Star,8,transpose,
Star,8,uniform_random,
Star,16,neighbor,
Star,16,tornado,
Star,16,transpose,
Star,16,uniform_random,
Star,32,neighbor,
Star,32,tornado,
Star,32,transpose,
Star,32,uniform_random,
Tree,8,neighbor,
Tree,8,tornado,
Tree,8,transpose,
Tree,8,uniform_random,
Tree,16,neighbor,
Tree,16,tornado,
Tree,16,transpose,
Tree,16,uniform_random,
Tree,32,neighbor,
Tree,32,tornado,
Tree,32,transpose,
Tree,32,uniform_random,0.5
